nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_01878_17963	NA	lavender
GS1_SS_01879_06629	NA	darkviolet
GS1_SS_01881_06770	NA	coral4
GS1_SS_01883_08769	NA	coral4
GS1_SS_01885_02262	NA	coral4
GS1_SS_01888_14274	NA	antiquewhite2
GS1_SS_01889_16710	NA	darkviolet
GS1_SS_01901_14418	NA	coral4
GS1_SS_01906_06557	NA	cornflowerblue
GS1_SS_01917_10349	NA	coral4
GS1_SS_01919_08613	NA	cornflowerblue
GS1_SS_01924_10582	NA	cornflowerblue
GS1_SS_01925_01073	NA	cornflowerblue
GS1_SS_01926_15991	NA	lavender
GS1_SS_01927_14150	NA	blue1
GS1_SS_01932_15183	NA	lightpink3
GS1_SS_01937_17127	NA	darkviolet
GS1_SS_01939_01247	NA	lightskyblue4
GS1_SS_01942_00806	NA	darkseagreen3
GS1_SS_01943_17833	NA	lightskyblue4
GS1_SS_01946_13336	NA	darkviolet
GS1_SS_01947_12606	NA	coral4
GS1_SS_01951_05112	NA	coral4
GS1_SS_01952_10608	NA	lavender
GS1_SS_01957_10309	NA	coral4
GS1_SS_01959_11855	NA	lavender
GS1_SS_01969_13542	NA	cornflowerblue
GS1_SS_01974_11102	NA	lightskyblue4
GS1_SS_01982_08238	NA	lavender
GS1_SS_01986_15264	NA	darkseagreen3
GS1_SS_01991_16034	NA	cornflowerblue
GS1_SS_01995_16281	NA	coral4
GS1_SS_01996_09312	NA	cornflowerblue
GS1_SS_01999_02681	NA	cornflowerblue
GS1_SS_02000_01401	NA	lavender
GS1_SS_02010_10791	NA	coral4
GS1_SS_02018_16242	NA	cornflowerblue
GS1_SS_02019_21891	NA	lavender
GS1_SS_02026_18921	NA	lavender
GS1_SS_02028_20679	NA	blue1
GS1_SS_02034_17140	NA	darkviolet
GS1_SS_02036_11692	NA	cornflowerblue
GS1_SS_02045_18119	NA	coral4
GS1_SS_02046_16162	NA	darkviolet
GS1_SS_02048_07992	NA	coral4
GS1_SS_02054_10212	NA	antiquewhite2
GS1_SS_02056_13310	NA	lavender
GS1_SS_02061_17567	NA	coral4
GS1_SS_02064_08249	NA	darkviolet
GS1_SS_02065_19705	NA	lavender
GS1_SS_02073_08230	NA	cornflowerblue
GS1_SS_02074_05038	NA	cornflowerblue
GS1_SS_02084_20718	NA	antiquewhite2
GS1_SS_02086_18977	NA	cornflowerblue
GS1_SS_02092_03297	NA	lavender
GS1_SS_02103_17384	NA	cornflowerblue
GS1_SS_02104_14142	NA	lightskyblue4
GS1_SS_02105_12423	NA	cornflowerblue
GS1_SS_02114_12033	NA	coral4
GS1_SS_02122_15843	NA	cornflowerblue
GS1_SS_02123_09156	NA	darkviolet
GS1_SS_02130_13438	NA	coral4
GS1_SS_02140_13252	NA	cornflowerblue
GS1_SS_02144_18497	NA	cornflowerblue
GS1_SS_02154_16480	NA	lavender
GS1_SS_02157_11793	NA	cornflowerblue
GS1_SS_02171_11294	NA	lavender
GS1_SS_02175_18224	NA	darkviolet
GS1_SS_02176_06003	NA	lavender
GS1_SS_02189_02003	NA	darkseagreen3
GS1_SS_02192_09664	NA	darkviolet
GS1_SS_02199_11461	NA	blue1
GS1_SS_02202_10050	NA	lightskyblue4
GS1_SS_02206_19725	NA	lavender
GS1_SS_02208_16692	NA	cornflowerblue
GS1_SS_02214_03490	NA	lavender
GS1_SS_02216_04004	NA	lavender
GS1_SS_02221_06676	NA	darkviolet
GS1_SS_02222_12311	NA	cornflowerblue
GS1_SS_02229_09101	NA	darkviolet
GS1_SS_02236_11315	NA	lavender
